Sample Name,CT
preT_1419,Undetermined
3wk_617,35.68242264
3wk_617,37.47969055
3wk_617,36.9942627
3wk_630,35.53757095
3wk_630,44.34672928
3wk_630,35.31715775
3wk_710,Undetermined
3wk_710,Undetermined
3wk_710,Undetermined
3wk_723,Undetermined
3wk_723,Undetermined
3wk_723,43.03749847
3wk_810,Undetermined
3wk_810,Undetermined
3wk_810,36.74146652
3wk_824,44.55830002
3wk_824,Undetermined
3wk_824,Undetermined
3wk_713,Undetermined
3wk_713,40.8780365
3wk_713,Undetermined
3wk_725,33.09255981
3wk_725,31.79043007
3wk_725,32.97738266
3wk_811,Undetermined
3wk_811,Undetermined
3wk_811,Undetermined
3wk_825,Undetermined
3wk_825,Undetermined
3wk_825,Undetermined
3wk_714,23.93393898
3wk_714,23.57275772
3wk_714,23.50607491
3wk_728,25.51745224
3wk_728,25.35919952
3wk_728,25.32883644
3wk_813,Undetermined
3wk_813,40.08260727
3wk_813,Undetermined
3wk_826,34.7841301
3wk_826,33.66043472
3wk_826,34.63469696
3wk_715,36.00202179
3wk_715,41.27451324
3wk_715,35.84828949
3wk_729,Undetermined
3wk_729,38.58650208
3wk_729,Undetermined
3wk_814,Undetermined
3wk_814,Undetermined
3wk_814,Undetermined
3wk_827,Undetermined
3wk_827,Undetermined
3wk_827,Undetermined
3wk_716,27.32281303
3wk_716,25.64311409
3wk_716,26.93042755
3wk_801,23.33759117
3wk_801,23.46188927
3wk_801,23.86989975
3wk_817,35.2819519
3wk_817,32.56385803
3wk_817,36.52898026
3wk_828,Undetermined
3wk_828,Undetermined
3wk_828,Undetermined
3wk_717,24.13734818
3wk_717,23.70202446
3wk_717,23.63477898
3wk_802,Undetermined
3wk_802,Undetermined
3wk_802,Undetermined
3wk_820,26.44257164
3wk_820,26.31225014
3wk_820,26.36741638
3wk_830,37.23130417
3wk_830,42.04122162
3wk_830,35.67513275
3wk_719,28.57605171
3wk_719,27.87225723
3wk_719,27.98731995
3wk_804,37.50669861
3wk_804,37.21219254
3wk_804,Undetermined
3wk_821,Undetermined
3wk_821,35.52981567
3wk_821,Undetermined
3wk_721,28.69167328
3wk_721,28.0998745
3wk_721,27.6204052
3wk_808,Undetermined
3wk_808,Undetermined
3wk_808,Undetermined
3wk_822,Undetermined
3wk_822,Undetermined
3wk_822,38.56754303
3wk_901,Undetermined
3wk_901,Undetermined
3wk_901,Undetermined
3wk_921,24.93743324
3wk_921,24.71051025
3wk_921,24.58241463
3wk_1005,Undetermined
3wk_1005,Undetermined
3wk_1005,35.25280762
3wk_1020,Undetermined
3wk_1020,Undetermined
3wk_1020,Undetermined
3wk_922,Undetermined
3wk_922,37.438797
3wk_922,Undetermined
3wk_1023,Undetermined
3wk_1023,34.87994385
3wk_1023,Undetermined
3wk_907,Undetermined
3wk_907,Undetermined
3wk_907,34.51766205
3wk_923,37.56521225
3wk_923,34.33772659
3wk_923,Undetermined
3wk_1008,Undetermined
3wk_1008,Undetermined
3wk_1008,Undetermined
3wk_1025,24.76003647
3wk_1025,24.37283707
3wk_1025,25.52087021
3wk_911,22.45347595
3wk_911,21.54931068
3wk_911,21.4607029
3wk_924,Undetermined
